year,month,day,hour,air_temp,dew_temp,sea_level_pressure,wind_direction,wind_speed,total_cloud_cover,one_hour_rain_accumulation,six_hour_rain_accumulation,air_temp_f,dew_temp_f,wind_speed_mph,one_hour_rain_accumulation_inches,six_hour_rain_accumulation_inches,sea_level_pressure_inHg,datetime
2017,5,11,0,2.2,1.1,10189.0,0.0,0.0,0.0,,,35.96,33.98,0.0,,,300.87999055043707,2017-05-11 00:00:00-04:00
2017,5,11,1,3.3,1.7,10190.0,130.0,2.1,0.0,,,37.94,35.06,4.6977,,,300.9095204346799,2017-05-11 01:00:00-04:00
2017,5,11,2,3.3,1.7,10181.0,80.0,1.5,0.0,,,37.94,35.06,3.3555,,,300.64375147649423,2017-05-11 02:00:00-04:00
2017,5,11,3,2.8,1.7,10177.0,80.0,2.1,0.0,,,37.04,35.06,4.6977,,,300.52563193952284,2017-05-11 03:00:00-04:00
2017,5,11,4,2.8,1.1,10178.0,80.0,1.5,0.0,,,37.04,33.98,3.3555,,,300.5551618237657,2017-05-11 04:00:00-04:00
2017,5,11,5,2.8,1.1,10176.0,80.0,2.1,0.0,,,37.04,33.98,4.6977,,,300.49610205527995,2017-05-11 05:00:00-04:00
2017,5,11,6,3.3,1.1,10171.0,80.0,2.6,0.0,,,37.94,33.98,5.8162,,,300.3484526340657,2017-05-11 06:00:00-04:00
2017,5,11,7,3.9,1.1,10167.0,90.0,2.6,0.0,,,39.02,33.98,5.8162,,,300.2303330970943,2017-05-11 07:00:00-04:00
2017,5,11,8,6.1,1.1,10169.0,60.0,3.1,0.0,,,42.98,33.98,6.9347,,,300.28939286558,2017-05-11 08:00:00-04:00
2017,5,11,9,8.3,1.7,10170.0,80.0,2.1,0.0,,,46.94,35.06,4.6977,,,300.31892274982283,2017-05-11 09:00:00-04:00
2017,5,11,10,10.6,1.1,10168.0,60.0,3.6,2.0,,,51.08,33.98,8.0532,,,300.2598629813372,2017-05-11 10:00:00-04:00
2017,5,11,11,12.2,1.7,10166.0,80.0,3.6,2.0,,,53.96,35.06,8.0532,,,300.20080321285144,2017-05-11 11:00:00-04:00
2017,5,11,12,13.9,2.2,10157.0,120.0,5.1,0.0,,,57.02,35.96,11.4087,,,299.93503425466577,2017-05-11 12:00:00-04:00
2017,5,11,13,13.9,1.7,10148.0,80.0,3.6,0.0,,,57.02,35.06,8.0532,,,299.66926529648003,2017-05-11 13:00:00-04:00
2017,5,11,14,15.6,2.8,10144.0,210.0,2.1,0.0,,,60.08,37.04,4.6977,,,299.55114575950864,2017-05-11 14:00:00-04:00
2017,5,11,15,15.6,2.2,10142.0,,1.5,2.0,,,60.08,35.96,3.3555,,,299.4920859910229,2017-05-11 15:00:00-04:00
2017,5,11,16,15.6,3.9,10143.0,300.0,5.1,,,,60.08,39.02,11.4087,,,299.5216158752658,2017-05-11 16:00:00-04:00
2017,5,11,17,15.6,4.4,10140.0,320.0,4.1,4.0,,,60.08,39.92,9.1717,,,299.43302622253725,2017-05-11 17:00:00-04:00
2017,5,11,18,14.4,4.4,10144.0,280.0,4.1,0.0,,,57.92,39.92,9.1717,,,299.55114575950864,2017-05-11 18:00:00-04:00
2017,5,11,19,13.9,5.6,10145.0,330.0,3.1,0.0,,,57.02,42.08,6.9347,,,299.5806756437515,2017-05-11 19:00:00-04:00
2017,5,11,20,11.7,5.6,10149.0,340.0,2.1,0.0,,,53.06,42.08,4.6977,,,299.6987951807229,2017-05-11 20:00:00-04:00
2017,5,11,21,10.0,5.0,10155.0,300.0,2.6,0.0,,,50.0,41.0,5.8162,,,299.87597448618004,2017-05-11 21:00:00-04:00
2017,5,11,22,10.0,5.6,10159.0,290.0,1.5,,,,50.0,42.08,3.3555,,,299.99409402315143,2017-05-11 22:00:00-04:00
2017,5,11,23,9.4,6.1,10157.0,300.0,2.1,,,,48.92,42.98,4.6977,,,299.93503425466577,2017-05-11 23:00:00-04:00
2017,5,12,0,9.4,6.1,10156.0,320.0,1.5,,,,48.92,42.98,3.3555,,,299.9055043704229,2017-05-12 00:00:00-04:00
2017,5,12,1,8.9,6.1,10157.0,290.0,2.1,,,,48.02,42.98,4.6977,,,299.93503425466577,2017-05-12 01:00:00-04:00
2017,5,12,2,8.3,5.6,10159.0,290.0,2.6,,,,46.94,42.08,5.8162,,,299.99409402315143,2017-05-12 02:00:00-04:00
2017,5,12,3,8.3,5.6,10158.0,250.0,1.5,,,,46.94,42.08,3.3555,,,299.9645641389086,2017-05-12 03:00:00-04:00
2017,5,12,4,8.3,6.7,10155.0,150.0,1.5,,,,46.94,44.06,3.3555,,,299.87597448618004,2017-05-12 04:00:00-04:00
2017,5,12,5,7.2,6.1,10159.0,0.0,0.0,,,,44.96,42.98,0.0,,,299.99409402315143,2017-05-12 05:00:00-04:00
2017,5,12,6,6.1,5.6,10163.0,80.0,2.1,0.0,,,42.98,42.08,4.6977,,,300.1122135601229,2017-05-12 06:00:00-04:00
2017,5,12,7,8.3,6.7,10169.0,70.0,1.5,,,,46.94,44.06,3.3555,,,300.28939286558,2017-05-12 07:00:00-04:00
2017,5,12,8,11.1,6.1,10171.0,140.0,1.5,,,,51.98,42.98,3.3555,,,300.3484526340657,2017-05-12 08:00:00-04:00
2017,5,12,9,11.7,5.6,10171.0,,2.1,,,,53.06,42.08,4.6977,,,300.3484526340657,2017-05-12 09:00:00-04:00
2017,5,12,10,13.3,6.1,10169.0,210.0,2.1,,,,55.94,42.98,4.6977,,,300.28939286558,2017-05-12 10:00:00-04:00
2017,5,12,11,15.6,5.0,10165.0,120.0,3.6,,,,60.08,41.0,8.0532,,,300.1712733286085,2017-05-12 11:00:00-04:00
2017,5,12,12,16.7,5.6,10160.0,130.0,3.1,4.0,,,62.06,42.08,6.9347,,,300.0236239073943,2017-05-12 12:00:00-04:00
2017,5,12,13,17.2,6.1,10152.0,170.0,4.6,,,,62.96,42.98,10.2902,,,299.7873848334515,2017-05-12 13:00:00-04:00
2017,5,12,14,17.2,5.6,10146.0,160.0,3.1,,,,62.96,42.08,6.9347,,,299.6102055279944,2017-05-12 14:00:00-04:00
2017,5,12,15,17.8,6.1,10143.0,150.0,5.1,,,,64.04,42.98,11.4087,,,299.5216158752658,2017-05-12 15:00:00-04:00
2017,5,12,16,17.2,5.6,10140.0,160.0,3.6,,,,62.96,42.08,8.0532,,,299.43302622253725,2017-05-12 16:00:00-04:00
2017,5,12,17,17.2,6.1,10138.0,160.0,4.1,,,,62.96,42.98,9.1717,,,299.3739664540515,2017-05-12 17:00:00-04:00
2017,5,12,18,16.7,5.6,10138.0,180.0,4.1,,,,62.06,42.08,9.1717,,,299.3739664540515,2017-05-12 18:00:00-04:00
2017,5,12,19,15.0,6.0,,180.0,3.6,,,,59.0,42.8,8.0532,,,,2017-05-12 19:00:00-04:00
2017,5,12,20,13.3,7.2,10138.0,200.0,2.1,,-1.0,-1.0,55.94,44.96,4.6977,-1.0,-1.0,299.3739664540515,2017-05-12 20:00:00-04:00
2017,5,12,21,12.2,8.9,10140.0,0.0,0.0,,-1.0,,53.96,48.02,0.0,-1.0,,299.43302622253725,2017-05-12 21:00:00-04:00
2017,5,12,22,11.7,8.9,10145.0,0.0,0.0,,,,53.06,48.02,0.0,,,299.5806756437515,2017-05-12 22:00:00-04:00
2017,5,12,23,11.7,7.8,10142.0,130.0,1.5,,-1.0,,53.06,46.04,3.3555,-1.0,,299.4920859910229,2017-05-12 23:00:00-04:00
2017,5,13,0,11.7,7.2,10141.0,130.0,1.5,,,,53.06,44.96,3.3555,,,299.4625561067801,2017-05-13 00:00:00-04:00
2017,5,13,1,11.1,7.2,10141.0,0.0,0.0,,,,51.98,44.96,0.0,,,299.4625561067801,2017-05-13 01:00:00-04:00
2017,5,13,2,10.0,7.8,10136.0,180.0,2.6,,-1.0,-1.0,50.0,46.04,5.8162,-1.0,-1.0,299.3149066855658,2017-05-13 02:00:00-04:00
2017,5,13,3,9.4,8.3,10134.0,160.0,2.6,,3.0,,48.92,46.94,5.8162,0.1181102362204724,,299.25584691708013,2017-05-13 03:00:00-04:00
2017,5,13,4,9.4,8.3,10133.0,0.0,0.0,,-1.0,,48.92,46.94,0.0,-1.0,,299.22631703283724,2017-05-13 04:00:00-04:00
2017,5,13,5,8.9,8.3,10129.0,130.0,1.5,,5.0,,48.02,46.94,3.3555,0.1968503937007874,,299.10819749586585,2017-05-13 05:00:00-04:00
2017,5,13,6,8.9,8.3,10129.0,110.0,1.5,,3.0,,48.02,46.94,3.3555,0.1181102362204724,,299.10819749586585,2017-05-13 06:00:00-04:00
2017,5,13,7,8.9,8.3,10131.0,0.0,0.0,,5.0,,48.02,46.94,0.0,0.1968503937007874,,299.1672572643516,2017-05-13 07:00:00-04:00
2017,5,13,8,8.9,8.3,10131.0,110.0,2.1,,8.0,23.0,48.02,46.94,4.6977,0.3149606299212598,0.905511811023622,299.1672572643516,2017-05-13 08:00:00-04:00
2017,5,13,9,9.0,7.0,,150.0,2.6,,-1.0,,48.2,44.6,5.8162,-1.0,,,2017-05-13 09:00:00-04:00
2017,5,13,10,8.9,7.8,10134.0,150.0,1.5,,3.0,,48.02,46.04,3.3555,0.1181102362204724,,299.25584691708013,2017-05-13 10:00:00-04:00
2017,5,13,11,8.9,7.2,10130.0,170.0,2.1,,-1.0,,48.02,44.96,4.6977,-1.0,,299.1377273801087,2017-05-13 11:00:00-04:00
2017,5,13,12,9.4,7.2,10128.0,150.0,3.1,,-1.0,,48.92,44.96,6.9347,-1.0,,299.07866761162296,2017-05-13 12:00:00-04:00
2017,5,13,13,10.0,7.2,10124.0,140.0,2.6,,,,50.0,44.96,5.8162,,,298.9605480746516,2017-05-13 13:00:00-04:00
2017,5,13,14,10.6,7.2,10119.0,140.0,2.6,,,3.0,51.08,44.96,5.8162,,0.1181102362204724,298.8128986534373,2017-05-13 14:00:00-04:00
2017,5,13,15,10.6,7.2,10117.0,160.0,4.1,,,,51.08,44.96,9.1717,,,298.7538388849516,2017-05-13 15:00:00-04:00
2017,5,13,16,10.6,7.2,10113.0,150.0,3.6,,,,51.08,44.96,8.0532,,,298.63571934798017,2017-05-13 16:00:00-04:00
2017,5,13,17,11.1,7.8,10110.0,130.0,3.1,,,,51.98,46.04,6.9347,,,298.5471296952516,2017-05-13 17:00:00-04:00
2017,5,13,18,12.0,8.0,,150.0,2.6,,,,53.6,46.4,5.8162,,,,2017-05-13 18:00:00-04:00
2017,5,13,19,11.1,8.3,10104.0,130.0,2.6,,,,51.98,46.94,5.8162,,,298.3699503897945,2017-05-13 19:00:00-04:00
2017,5,13,20,10.6,7.8,10106.0,140.0,2.6,,,,51.08,46.04,5.8162,,,298.4290101582802,2017-05-13 20:00:00-04:00
2017,5,13,21,10.0,7.8,10103.0,120.0,1.5,,,,50.0,46.04,3.3555,,,298.34042050555166,2017-05-13 21:00:00-04:00
2017,5,13,22,10.0,7.8,10102.0,130.0,1.5,,,,50.0,46.04,3.3555,,,298.3108906213088,2017-05-13 22:00:00-04:00
2017,5,13,23,8.9,7.8,10100.0,170.0,2.6,,,,48.02,46.04,5.8162,,,298.2518308528231,2017-05-13 23:00:00-04:00
